time_point,mean_trust,std_trust
0,0.5733,0.0
1,0.4126,0.0
2,0.5712,0.0
3,0.5712,0.0
4,0.4506,0.0
5,0.358,0.0
6,0.4464,0.0
7,0.4448,0.0
8,0.3522,0.0
9,0.4004,0.0
10,0.3474,0.0
11,0.4358,0.0
12,0.394,0.0
13,0.3919,0.0
14,0.43,0.0
15,0.3373,0.0
16,0.3856,0.0
17,0.504,0.0
18,0.3829,0.0
19,0.3299,0.0
20,0.3273,0.0
21,0.496,0.0
22,0.3749,0.0
23,0.4532,0.0
24,0.4923,0.0
25,0.3204,0.0
26,0.4489,0.0
27,0.3675,0.0
28,0.4457,0.0
29,0.525,0.0
30,0.4849,0.0
31,0.4442,0.0
32,0.3627,0.0
33,0.5213,0.0
34,0.4008,0.0
35,0.3082,0.0
36,0.3966,0.0
37,0.4352,0.0
38,0.4743,0.0
39,0.5139,0.0
40,0.4737,0.0
41,0.3928,0.0
42,0.4314,0.0
43,0.4304,0.0
44,0.3891,0.0
45,0.3474,0.0
46,0.5059,0.0
47,0.2944,0.0
48,0.3828,0.0
49,0.341,0.0
50,0.3389,0.0
51,0.3769,0.0
52,0.3753,0.0
53,0.3336,0.0
54,0.2806,0.0
55,0.4895,0.0
56,0.369,0.0
57,0.3272,0.0
58,0.3251,0.0
59,0.4837,0.0
60,0.2721,0.0
61,0.3203,0.0
62,0.4387,0.0
63,0.2668,0.0
64,0.315,0.0
65,0.4334,0.0
66,0.3927,0.0
67,0.2604,0.0
68,0.389,0.0
69,0.2567,0.0
70,0.3853,0.0
71,0.3039,0.0
72,0.2509,0.0
73,0.3393,0.0
74,0.418,0.0
75,0.4577,0.0
76,0.3371,0.0
77,0.4159,0.0
78,0.335,0.0
79,0.454,0.0
80,0.454,0.0
81,0.3736,0.0
82,0.3323,0.0
83,0.3709,0.0
84,0.3297,0.0
85,0.2879,0.0
86,0.2858,0.0
87,0.2837,0.0
88,0.2307,0.0
89,0.3191,0.0
90,0.3577,0.0
91,0.3566,0.0
92,0.3556,0.0
93,0.3545,0.0
94,0.3534,0.0
95,0.272,0.0
96,0.3904,0.0
97,0.3899,0.0
98,0.1799,0.0
99,0.1767,0.0
100,0.1736,0.0
101,0.172,0.0
102,0.165,0.0
103,0.1699,0.0
104,0.1683,0.0
105,0.1613,0.0
106,0.1666,0.0
107,0.1597,0.0
108,0.1646,0.0
109,0.1635,0.0
110,0.1624,0.0
111,0.1608,0.0
112,0.1539,0.0
113,0.1592,0.0
114,0.1566,0.0
115,0.1555,0.0
116,0.1486,0.0
117,0.1481,0.0
118,0.1518,0.0
119,0.1508,0.0
120,0.1567,0.0
121,0.1461,0.0
122,0.1392,0.0
123,0.1434,0.0
124,0.1424,0.0
125,0.1403,0.0
126,0.1772,0.0
127,0.1349,0.0
128,0.1328,0.0
129,0.1318,0.0
130,0.1286,0.0
131,0.127,0.0
132,0.1201,0.0
133,0.1248,0.0
134,0.1227,0.0
135,0.1201,0.0
136,0.1169,0.0
137,0.1142,0.0
138,0.1127,0.0
139,0.1105,0.0
140,0.1084,0.0
141,0.1068,0.0
142,0.1058,0.0
143,0.1026,0.0
144,0.0957,0.0
145,0.1004,0.0
146,0.0994,0.0
147,0.0984,0.0
148,0.0967,0.0
149,0.0951,0.0
150,0.0941,0.0
151,0.0872,0.0
152,0.1305,0.0
153,0.0893,0.0
154,0.0883,0.0
155,0.0872,0.0
156,0.084,0.0
157,0.0771,0.0
158,0.0824,0.0
159,0.0798,0.0
160,0.0729,0.0
161,0.0782,0.0
162,0.0996,0.0
163,0.0737,0.0
164,0.0668,0.0
165,0.0711,0.0
166,0.0641,0.0
167,0.0764,0.0
168,0.0674,0.0
169,0.0605,0.0
170,0.0654,0.0
171,0.0627,0.0
172,0.0595,0.0
173,0.0579,0.0
174,0.0553,0.0
175,0.0537,0.0
176,0.0505,0.0
177,0.0473,0.0
178,0.0452,0.0
179,0.0436,0.0
180,0.0495,0.0
181,0.04,0.0
182,0.0389,0.0
183,0.0379,0.0
184,0.0368,0.0
185,0.0299,0.0
186,0.0347,0.0
187,0.0326,0.0
188,0.0304,0.0
189,0.0283,0.0
190,0.0262,0.0
191,0.0241,0.0
192,0.023,0.0
193,0.0203,0.0
194,0.0418,0.0
195,0.0116,0.0
196,0.0116,0.0
197,0.0116,0.0
198,0.0116,0.0
199,0.0078,0.0
200,0.0116,0.0
201,0.0116,0.0
202,0.0078,0.0
203,0.0116,0.0
204,0.0078,0.0
205,0.0116,0.0
206,0.0116,0.0
207,0.0116,0.0
208,0.0116,0.0
209,0.0078,0.0
210,0.0116,0.0
211,0.0116,0.0
212,0.0116,0.0
213,0.0078,0.0
214,0.0078,0.0
215,0.0116,0.0
216,0.0116,0.0
217,0.0115,0.0
218,0.0115,0.0
219,0.0076,0.0
220,0.0115,0.0
221,0.0115,0.0
222,0.0115,0.0
223,0.011,0.0
224,0.011,0.0
225,0.011,0.0
226,0.011,0.0
227,0.011,0.0
228,0.011,0.0
229,0.0071,0.0
230,0.011,0.0
231,0.011,0.0
232,0.011,0.0
233,0.011,0.0
234,0.011,0.0
235,0.011,0.0
236,0.011,0.0
237,0.011,0.0
238,0.011,0.0
239,0.011,0.0
240,0.011,0.0
241,0.0071,0.0
242,0.011,0.0
243,0.011,0.0
244,0.011,0.0
245,0.011,0.0
246,0.011,0.0
247,0.011,0.0
248,0.0071,0.0
249,0.0105,0.0
250,0.0105,0.0
251,0.0105,0.0
252,0.0105,0.0
253,0.0105,0.0
254,0.0066,0.0
255,0.0105,0.0
256,0.0105,0.0
257,0.0066,0.0
258,0.0105,0.0
259,0.0101,0.0
260,0.0101,0.0
261,0.0063,0.0
262,0.0101,0.0
263,0.0063,0.0
264,0.01,0.0
265,0.01,0.0
266,0.0062,0.0
267,0.01,0.0
268,0.01,0.0
269,0.01,0.0
270,0.01,0.0
271,0.01,0.0
272,0.01,0.0
273,0.01,0.0
274,0.01,0.0
275,0.01,0.0
276,0.01,0.0
277,0.0099,0.0
278,0.0099,0.0
279,0.0099,0.0
280,0.0099,0.0
281,0.0099,0.0
282,0.0061,0.0
283,0.0099,0.0
284,0.0099,0.0
285,0.0099,0.0
286,0.0099,0.0
287,0.0099,0.0
288,0.0099,0.0
289,0.0099,0.0
290,0.0099,0.0
291,0.0096,0.0
