id_device,id_user,device_type,device_brand,device_model
14685,0,15,1,1
14686,0,15,1,1
14687,0,15,1,1
14993,0,10,1,1
14994,0,10,1,1
14995,0,10,1,1
14996,0,10,1,1
14997,0,10,1,1
14998,0,10,1,1
14999,0,10,1,1
15000,0,10,1,1
15001,0,10,1,1
15002,0,10,1,1
15003,0,10,1,1
15005,0,10,1,1
15006,0,10,1,1
15007,0,10,1,1
15009,0,10,1,1
15011,0,10,1,1
15852,0,10,1,1
15867,0,10,1,1
15873,0,10,1,1
15874,0,10,1,1
15875,0,10,1,1
15876,0,10,1,1
15877,0,10,1,1
15881,0,10,1,1
15884,0,10,1,1
15895,0,10,1,1
15948,0,14,1,1
15949,0,14,1,1
15950,0,14,1,1
15951,0,14,1,1
15952,0,14,1,1
15953,0,14,1,1
15954,0,14,1,1
15955,0,14,1,1
15956,0,14,1,1
15957,0,14,1,1
15958,0,14,1,1
15959,0,14,1,1
15960,0,14,1,1
15961,0,14,1,1
15962,0,14,1,1
15967,0,10,1,1
15968,0,10,1,1
15981,0,9,1,1
15983,0,9,1,1
15987,0,9,1,1
16150,0,11,1,1
16151,0,11,1,1
16152,0,11,1,1
16153,0,11,1,1
16154,0,11,1,1
