id_device,id_user,device_type,device_brand,device_model
3816,2039,2,0,0
7897,2160,4,0,0
5327,1842,2,7,5
500,2669,1,12,10
3251,3423,1,1,19
3067,228,1,11,24
3756,2735,2,0,0
15410,0,14,1,1
15969,0,14,1,1
1152,2964,1,5,10
16006,0,9,1,1
4998,2435,2,2,15
1488,2645,1,2,13
4178,1074,2,0,0
2811,1448,1,4,14
15469,0,14,1,1
929,408,1,5,20
354,2520,1,7,6
1558,2527,1,11,19
8234,17,4,0,0
4563,1072,2,0,0
3198,1331,1,0,0
5246,2532,2,3,16
3960,2744,2,5,7
8214,1772,4,0,0
3029,3482,1,1,20
3197,3366,1,5,3
2960,3670,1,0,0
15369,0,14,1,1
4494,163,2,1,6
8178,3317,4,2,12
8020,1072,4,11,21
2457,2304,1,10,9
5558,2865,2,11,14
4472,2394,2,10,7
1422,3535,1,1,17
63,3954,1,11,14
423,3764,1,0,0
3450,129,1,0,0
943,2329,1,11,8
15530,0,14,1,1
