time_point,mean_trust,std_trust
0,0.6778,0.0
1,0.51404,0.0
2,0.40362,0.0
3,0.36658,0.0
4,0.35734,0.0
5,0.2647,0.0
6,0.22149999999999997,0.0
7,0.17829999999999996,0.0
8,0.13505999999999999,0.0
9,0.09179999999999999,0.0
10,0.0486,0.0
11,0.030599999999999985,0.0
12,0.0261,0.0
13,0.019939999999999996,0.0
14,0.0107,0.0
15,0.0107,0.0
16,0.0107,0.0
17,0.0107,0.0
18,0.0107,0.0
19,0.0107,0.0
20,0.0107,0.0
21,0.007259999999999997,0.0
22,0.0064,0.0
23,0.0064,0.0
24,0.0064,0.0
25,0.0064,0.0
26,0.0064,0.0
27,0.0064,0.0
28,0.0064,0.0
29,0.0064,0.0
30,0.0064,0.0
