device_type,id_off_service_1,id_off_service_2,id_off_service_3,id_off_service_4,id_off_service_5,id_off_service_6,id_off_service_7,id_off_service_8,id_off_service_9,id_req_application_ 1,id_req_application_ 2,id_req_application_ 3,id_req_application_ 4,id_req_application_ 5,id_req_application_ 6,id_req_application_ 7,id_req_application_ 8,id_req_application_ 9,id_req_application_10,id_req_application_11,id_req_application_12,id_req_application_13,id_req_application_14,id_req_application_15,id_req_application_16,id_req_application_17
1,1,2,4,5,7,10,,,,4,5,6,7,8,9,10,12,16,17,19,20,21,23,24,25,26
2,1,2,4,5,7,8,9,10,,1,4,6,9,11,19,23,,,,,,,,,,
3,1,2,4,5,7,10,,,,4,5,6,7,8,9,10,12,16,17,19,20,21,23,24,25,26
4,14,,,,,,,,,16,26,,,,,,,,,,,,,,,
5,2,4,7,,,,,,,4,6,7,8,16,21,26,,,,,,,,,,
6,2,4,7,,,,,,,7,8,10,16,17,25,26,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,7,15,,,,,,,7,17,22,,,,,,,,,,,,,,
9,1,2,3,4,,,,,,3,6,12,18,22,26,,,,,,,,,,,
10,1,2,5,6,7,,,,,,,,,,,,,,,,,,,,,
11,1,2,6,7,8,9,10,11,12,1,4,6,9,,,,,,,,,,,,,
12,1,2,3,5,7,8,,,,2,3,4,5,6,8,9,12,13,14,15,20,23,26,,,
13,1,2,7,13,16,,,,,1,4,6,11,23,,,,,,,,,,,,
14,1,2,7,9,,,,,,2,,,,,,,,,,,,,,,,
15,1,2,7,13,,,,,,,,,,,,,,,,,,,,,,
16,1,2,4,7,8,,,,,4,,,,,,,,,,,,,,,,
