device_type,id_off_service,id_req_service
1,"1,2,4,5,7,10","1,10,11,12,13,14,15,16,2,3,4,5,6,7,8"
2,"1,2,4,5,7,8,9,10","1,10,12,13,16,5,6,7,8,9"
3,"1,2,4,5,7,10","1,10,11,12,13,14,15,16,2,3,4,5,6,7,8"
4,14,"1,14,2,5,6"
5,"2,4,7","1,10,14,15,16,2,3,4,5,6,8"
6,"2,4,7","1,14,15,16,2,3,5,6,7"
7,7,
8,"5,7,15","15,16,4,5,7"
9,"1,2,3,4","1,2,4,5,6,7"
10,"1,2,5,6,7",
11,"1,2,6,7,8,9,10,11,12","1,10,13,5,8"
12,"1,2,3,5,7,8","1,10,11,12,13,16,2,3,4,5,6,7,8,9"
13,"1,2,7,13,16","1,10,12,16,5,6,8,9"
14,"1,2,7,9","4,8,9"
15,"1,2,7,13",
16,"1,2,4,7,8","1,10,5,8"
